Text,polarity,Emotion
But the staff was so horrible to us.,negative,Anger
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",positive,Joy
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",positive,Joy
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",positive,Joy
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",neutral,Joy
"Not only was the food outstanding, but the little 'perks' were great.",positive,Joy
"Not only was the food outstanding, but the little 'perks' were great.",positive,Joy
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,positive,Joy
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,positive,Joy
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,neutral,Joy
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,neutral,Joy
"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",positive,Joy
Nevertheless the food itself is pretty good.,positive,Joy
"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.",neutral,Anger
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",negative,Surprise
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",negative,Surprise
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",negative,Surprise
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",neutral,Surprise
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",negative,Surprise
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",neutral,Surprise
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",neutral,Surprise
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",neutral,Joy
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",neutral,Joy
The design and atmosphere is just as good.,positive,Joy
The design and atmosphere is just as good.,positive,Joy
He has visited Thailand and is quite expert on the cuisine.,positive,Joy
The pizza is the best if you like thin crusted pizza.,positive,Joy
The pizza is the best if you like thin crusted pizza.,neutral,Joy
"All the money went into the interior decoration, none of it went to the chefs.",positive,Anger
"All the money went into the interior decoration, none of it went to the chefs.",negative,Anger
The seats are uncomfortable if you are sitting against the wall on wooden benches.,negative,Anger
"I asked for seltzer with lime, no ice.",neutral,Disgust
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",positive,Disgust
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",positive,Disgust
My suggestion is to eat family style because you'll want to try the other dishes.,neutral,Disgust
My suggestion is to eat family style because you'll want to try the other dishes.,positive,Disgust
"Best of all is the warm vibe, the owner is super friendly and service is fast.",positive,Joy
"Best of all is the warm vibe, the owner is super friendly and service is fast.",positive,Joy
"Best of all is the warm vibe, the owner is super friendly and service is fast.",positive,Joy
Faan's got a great concept but a little rough on the delivery.,negative,Joy
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",positive,Joy
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",positive,Joy
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",positive,Joy
"Great food at REASONABLE prices, makes for an evening that can't be beat!",positive,Joy
"Great food at REASONABLE prices, makes for an evening that can't be beat!",positive,Joy
this little place has a cute interior decor and affordable city prices.,positive,Joy
this little place has a cute interior decor and affordable city prices.,positive,Joy
Two words: Free wine.,positive,Anger
The price is reasonable although the service is poor.,positive,Anger
The price is reasonable although the service is poor.,negative,Anger
"The quantity is also very good, you will come out satisfied.",positive,Joy
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",neutral,Joy
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",neutral,Joy
The fried rice is amazing here.,positive,Joy
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",positive,Joy
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",positive,Joy
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",positive,Joy
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",positive,Joy
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",neutral,Joy
it's a perfect place to have a amanzing indian food.,positive,Joy
The place is so cool and the service is prompt and curtious.,positive,Joy
The place is so cool and the service is prompt and curtious.,positive,Joy
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,positive,Anger
I just wonder how you can have such a delicious meal for such little money.,positive,Joy
I just wonder how you can have such a delicious meal for such little money.,positive,Joy
The food was delicious but do not come here on a empty stomach.,conflict,Joy
